"Accountant Wichita",0,"Wichita State University-Accounts Receivable","(316) 978-3333",www.wichita.edu/acctsrec,"United States",1,Wichita,University,"[{""id"":""108051929285833"",""name"":""College & University""}]",70,,287090411311428,http://www.facebook.com/287090411311428,"=HYPERLINK(""http://www.facebook.com/287090411311428/?sk=info"", ""287090411311428"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=287090411311428"", ""Create"")"
"Accountant Wichita",1,"Accounting & Financial Women's Alliance Wichita Chapter",,http://www.wichitaafwa.org/,,,,"Non-profit organization",,21,,463319620356791,http://www.facebook.com/463319620356791,"=HYPERLINK(""http://www.facebook.com/463319620356791/?sk=info"", ""463319620356791"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=463319620356791"", ""Create"")"
"Accountant Wichita",2,"Tiger Financial Management East","(888) 333-1360",,"United States",1,Wichita,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",12,1,356113497800922,http://www.facebook.com/356113497800922,"=HYPERLINK(""http://www.facebook.com/356113497800922/?sk=info"", ""356113497800922"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=356113497800922"", ""Create"")"
"Accountant Wichita",3,"Optometric Billing Solutions","(316) 722-2021",,"United States",1,Wichita,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""192316870798061"",""name"":""Optometrist""}]",34,,211403542211297,http://www.facebook.com/211403542211297,"=HYPERLINK(""http://www.facebook.com/211403542211297/?sk=info"", ""211403542211297"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=211403542211297"", ""Create"")"
"Accountant Wichita",4,Wichitax,"(316) 264-1990",,"United States",1,Wichita,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",35,,632963330075292,http://www.facebook.com/632963330075292,"=HYPERLINK(""http://www.facebook.com/632963330075292/?sk=info"", ""632963330075292"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=632963330075292"", ""Create"")"
"Accountant Wichita",5,"Nye Accounting & Tax","(316) 685-4399",http://www.linkedin.com/pub/steven-w-nye/9/849/588,"United States",1,Wichita,"Professional services","[{""id"":""139976092733827"",""name"":""Accountant""}]",32,,360048650762895,http://www.facebook.com/360048650762895,"=HYPERLINK(""http://www.facebook.com/360048650762895/?sk=info"", ""360048650762895"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=360048650762895"", ""Create"")"
"Accountant Wichita",6,"Brandon P. Schultz, CPA, PC","(940) 397-8400",www.schultzco.com,"United States",1,"Wichita Falls","Professional services","[{""id"":""139976092733827"",""name"":""Accountant""}]",18,,214674635225913,http://www.facebook.com/214674635225913,"=HYPERLINK(""http://www.facebook.com/214674635225913/?sk=info"", ""214674635225913"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=214674635225913"", ""Create"")"
"Accountant Wichita",7,"Infosync Service","(316) 685-1622",,"United States",1,Wichita,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",29,5,157268204306477,http://www.facebook.com/157268204306477,"=HYPERLINK(""http://www.facebook.com/157268204306477/?sk=info"", ""157268204306477"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=157268204306477"", ""Create"")"
"Accountant Wichita",8,"Melvin L Bird, CPA","(316) 263-4226",http://melvinbirdcpa.com/,"United States",1,Wichita,"Professional services","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""211381282212118"",""name"":""Financial Planning""},{""id"":""204887546203055"",""name"":""Estate Planning""}]",65,38,922926871060387,http://www.facebook.com/922926871060387,"=HYPERLINK(""http://www.facebook.com/922926871060387/?sk=info"", ""922926871060387"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=922926871060387"", ""Create"")"
"Accountant Wichita",9,"O'Rear Business Solutions","(316) 650-3414",http://orearbusinesssolutions.com,"United States",1,Wichita,"Business services","[{""id"":""139976092733827"",""name"":""Accountant""}]",67,,147084332120694,http://www.facebook.com/147084332120694,"=HYPERLINK(""http://www.facebook.com/147084332120694/?sk=info"", ""147084332120694"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=147084332120694"", ""Create"")"
