"Accountant Arlington",0,"Arlington Accountants",02380262910,www.arlingtonaccountants.co.uk,"United Kingdom",44,Eastleigh,"Business services","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""133381803394214"",""name"":""Tax Preparation""},{""id"":""211381282212118"",""name"":""Financial Planning""}]",51,,167946759895883,http://www.facebook.com/167946759895883,"=HYPERLINK(""http://www.facebook.com/167946759895883/?sk=info"", ""167946759895883"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=167946759895883"", ""Create"")"
"Accountant Arlington",1,"Arlington Police Accountability TaskForce",,,,,,Camera/photo,,16,1,1483017805301919,http://www.facebook.com/1483017805301919,"=HYPERLINK(""http://www.facebook.com/1483017805301919/?sk=info"", ""1483017805301919"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=1483017805301919"", ""Create"")"
"Accountant Arlington",2,"University of Texas at Arlington Accounting Alumni Association",,http://wweb.uta.edu/accounting/index.html,,,,Education,,50,,1454015841488136,http://www.facebook.com/1454015841488136,"=HYPERLINK(""http://www.facebook.com/1454015841488136/?sk=info"", ""1454015841488136"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=1454015841488136"", ""Create"")"
"Accountant Arlington",3,"QL CPA Firm","(817) 801-3163",,"United States",1,Arlington,"Business services","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""187133811318958"",""name"":""Business Services""}]",66,,370627546408426,http://www.facebook.com/370627546408426,"=HYPERLINK(""http://www.facebook.com/370627546408426/?sk=info"", ""370627546408426"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=370627546408426"", ""Create"")"
"Accountant Arlington",4,"Hoff and Associates","(847) 364-1040",http://www.hofftax.com,"United States",1,"Arlington Heights","Bank/financial services","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""133381803394214"",""name"":""Tax Preparation""}]",15,,810441045637206,http://www.facebook.com/810441045637206,"=HYPERLINK(""http://www.facebook.com/810441045637206/?sk=info"", ""810441045637206"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=810441045637206"", ""Create"")"
"Accountant Arlington",5,"Bookkeeping Service","(785) 224-4160",,"United States",1,Arlington,"Bank/financial services","[{""id"":""2512"",""name"":""Bank\/Financial Services""}]",28,,376624855707515,http://www.facebook.com/376624855707515,"=HYPERLINK(""http://www.facebook.com/376624855707515/?sk=info"", ""376624855707515"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=376624855707515"", ""Create"")"
"Accountant Arlington",6,"Sage 50 Support Illinois Reseller 800.475.1047 100% Guaranteed Training","(800) 475-1047",http://www.jcscomputer.com,"United States",1,"Arlington Heights","Business services","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""179672275401610"",""name"":""Business Consultant""}]",20,,543795075640585,http://www.facebook.com/543795075640585,"=HYPERLINK(""http://www.facebook.com/543795075640585/?sk=info"", ""543795075640585"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=543795075640585"", ""Create"")"
"Accountant Arlington",7,"Christy Dang CPA PLLC",,<<not-applicable>>,"United States",1,Arlington,"Small business","[{""id"":""139976092733827"",""name"":""Accountant""}]",147,11,380459852056359,http://www.facebook.com/380459852056359,"=HYPERLINK(""http://www.facebook.com/380459852056359/?sk=info"", ""380459852056359"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=380459852056359"", ""Create"")"
"Accountant Arlington",8,"Sharp Tax & Accounting Service","(703) 892-6937",,"United States",1,Arlington,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""133381803394214"",""name"":""Tax Preparation""}]",3,,163597637002307,http://www.facebook.com/163597637002307,"=HYPERLINK(""http://www.facebook.com/163597637002307/?sk=info"", ""163597637002307"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=163597637002307"", ""Create"")"
"Accountant Arlington",9,"V.I.P Taxes & Financial Solutions","(972) 303-3311",http://twitter.com/VIPProTaxes,"United States",1,Arlington,"Small business","[{""id"":""179672275401610"",""name"":""Business Consultant""},{""id"":""133381803394214"",""name"":""Tax Preparation""},{""id"":""108443649233212"",""name"":""Credit Counseling""}]",79,,558269530897007,http://www.facebook.com/558269530897007,"=HYPERLINK(""http://www.facebook.com/558269530897007/?sk=info"", ""558269530897007"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=558269530897007"", ""Create"")"
"Accountant Arlington",10,"K. P. Monaco & Associates, P.C.","(817) 460-3143",http://kpmonaco.com,"United States",1,Arlington,"Professional services","[{""id"":""179672275401610"",""name"":""Business Consultant""},{""id"":""139976092733827"",""name"":""Accountant""}]",34,,319850674715135,http://www.facebook.com/319850674715135,"=HYPERLINK(""http://www.facebook.com/319850674715135/?sk=info"", ""319850674715135"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=319850674715135"", ""Create"")"
"Accountant Arlington",11,"Arthur Lander CPA PC","(703) 486-0700",www.arthurlander.com,"United States",1,Arlington,"Professional services","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""133381803394214"",""name"":""Tax Preparation""}]",121,2,173151212697774,http://www.facebook.com/173151212697774,"=HYPERLINK(""http://www.facebook.com/173151212697774/?sk=info"", ""173151212697774"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=173151212697774"", ""Create"")"
"Accountant Arlington",12,"EDI Management Solutions",,http://www.edimanagementsolutions.com,"United States",1,Arlington,"Professional services","[{""id"":""188662441155211"",""name"":""Community & Government""},{""id"":""201528873201605"",""name"":""Management Service""},{""id"":""139976092733827"",""name"":""Accountant""}]",35,1,1508757379354331,http://www.facebook.com/1508757379354331,"=HYPERLINK(""http://www.facebook.com/1508757379354331/?sk=info"", ""1508757379354331"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=1508757379354331"", ""Create"")"
"Accountant Arlington",13,"Intuit Payroll Services","(866) 729-2925",,"United States",1,"Arlington Heights","Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",2,,138956022873897,http://www.facebook.com/138956022873897,"=HYPERLINK(""http://www.facebook.com/138956022873897/?sk=info"", ""138956022873897"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=138956022873897"", ""Create"")"
"Accountant Arlington",14,"National Tax Recovery LLC","817.795.5000/ FAX 817.795.5031",ntrecoveryllc.com,"United States",1,Arlington,Community/government,"[{""id"":""188662441155211"",""name"":""Community & Government""},{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""187133811318958"",""name"":""Business Services""}]",57,,149305015124185,http://www.facebook.com/149305015124185,"=HYPERLINK(""http://www.facebook.com/149305015124185/?sk=info"", ""149305015124185"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=149305015124185"", ""Create"")"
"Accountant Arlington",15,"Lipsey and Associates","(703) 988-6573",http://www.lipseyandassociates.com,"United States",1,Arlington,"Business services","[{""id"":""133381803394214"",""name"":""Tax Preparation""},{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""179672275401610"",""name"":""Business Consultant""}]",9,2,264392840429621,http://www.facebook.com/264392840429621,"=HYPERLINK(""http://www.facebook.com/264392840429621/?sk=info"", ""264392840429621"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=264392840429621"", ""Create"")"
"Accountant Arlington",16,"Porter & Company CPA's","(817) 261-2582",www.MyTexasCPA.com,"United States",1,Arlington,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",131,,106974149376865,http://www.facebook.com/106974149376865,"=HYPERLINK(""http://www.facebook.com/106974149376865/?sk=info"", ""106974149376865"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=106974149376865"", ""Create"")"
"Accountant Arlington",17,"H & R Block",,http://www.hrblock.com/,"United States",1,Arlington,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""133381803394214"",""name"":""Tax Preparation""}]",3,,195558123881918,http://www.facebook.com/195558123881918,"=HYPERLINK(""http://www.facebook.com/195558123881918/?sk=info"", ""195558123881918"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=195558123881918"", ""Create"")"
"Accountant Arlington",18,"Liberty Tax","(817) 483-5000",https://wwwlibertytax.com/16413,"United States",1,Arlington,"Local business","[{""id"":""133381803394214"",""name"":""Tax Preparation""},{""id"":""139976092733827"",""name"":""Accountant""}]",5,1,235286629964474,http://www.facebook.com/235286629964474,"=HYPERLINK(""http://www.facebook.com/235286629964474/?sk=info"", ""235286629964474"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=235286629964474"", ""Create"")"
"Accountant Arlington",19,"Donald G. McCartney, PC, CPA","(817) 563-7717",http://www.mccartneycpa.com/,"United States",1,Arlington,"Bank/financial services","[{""id"":""139976092733827"",""name"":""Accountant""},{""id"":""133381803394214"",""name"":""Tax Preparation""}]",10,,1475352742748048,http://www.facebook.com/1475352742748048,"=HYPERLINK(""http://www.facebook.com/1475352742748048/?sk=info"", ""1475352742748048"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=1475352742748048"", ""Create"")"
"Accountant Arlington",20,"Wendroff & Associates, CPA","(703) 553-1099",www.wendroffcpa.com,"United States",1,Arlington,"Bank/financial services","[{""id"":""139976092733827"",""name"":""Accountant""}]",104,,57890638087,http://www.facebook.com/57890638087,"=HYPERLINK(""http://www.facebook.com/57890638087/?sk=info"", ""57890638087"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=57890638087"", ""Create"")"
"Accountant Arlington",21,"Patrick Jaikaran MA CPA","(817) 478-4470",,"United States",1,Arlington,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",1,,159693977385463,http://www.facebook.com/159693977385463,"=HYPERLINK(""http://www.facebook.com/159693977385463/?sk=info"", ""159693977385463"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=159693977385463"", ""Create"")"
"Accountant Arlington",22,"Tahir Ismail","(817) 460-7829",,"United States",1,Arlington,"Local business","[{""id"":""133381803394214"",""name"":""Tax Preparation""},{""id"":""139976092733827"",""name"":""Accountant""}]",3,,138655762849014,http://www.facebook.com/138655762849014,"=HYPERLINK(""http://www.facebook.com/138655762849014/?sk=info"", ""138655762849014"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=138655762849014"", ""Create"")"
"Accountant Arlington",23,"Robinson Stephen","(817) 277-1040",,"United States",1,Arlington,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",,,105252659542375,http://www.facebook.com/105252659542375,"=HYPERLINK(""http://www.facebook.com/105252659542375/?sk=info"", ""105252659542375"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=105252659542375"", ""Create"")"
"Accountant Arlington",24,"Carroll Al CPA Pllc","(817) 996-5815",,"United States",1,Arlington,"Local business","[{""id"":""139976092733827"",""name"":""Accountant""}]",,,110287922369017,http://www.facebook.com/110287922369017,"=HYPERLINK(""http://www.facebook.com/110287922369017/?sk=info"", ""110287922369017"")","=HYPERLINK(""http://wp.otonomic.com/migration/index?page_id=110287922369017"", ""Create"")"
